X,Y,Z,R,G,B,nX,nY,nZ
1.841740000000000044e-02,4.690550000000000275e-02,-2.368159999999999987e-01,7.450980392156862919e-01,5.803921568627451455e-01,3.725490196078430905e-01,0.000000000000000000e+00,5.861659999999999648e-01,8.101909999999999945e-01
1.965329999999999855e-02,4.690550000000000275e-02,-2.368159999999999987e-01,7.372549019607843590e-01,5.725490196078431016e-01,3.647058823529411020e-01,9.771349999999999481e-02,5.226779999999999760e-01,8.469119999999999981e-01
2.090449999999999947e-02,4.690550000000000275e-02,-2.368159999999999987e-01,7.333333333333332815e-01,5.568627450980392357e-01,3.529411764705882026e-01,2.253350000000000075e-01,4.506689999999999863e-01,8.637829999999999675e-01
2.224730000000000110e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.254901960784313486e-01,5.568627450980392357e-01,3.607843137254901911e-01,2.258239999999999970e-01,4.502720000000000056e-01,8.638630000000000475e-01
2.349849999999999856e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.294117647058823151e-01,5.607843137254902022e-01,3.803921568627450789e-01,9.667320000000000080e-02,5.196190000000000531e-01,8.489119999999999999e-01
2.474979999999999888e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.333333333333332815e-01,5.725490196078431016e-01,3.882352941176470118e-01,1.094870000000000010e-01,5.084159999999999791e-01,8.541229999999999656e-01
2.598570000000000046e-02,4.708860000000000129e-02,-2.379149999999999876e-01,7.294117647058823151e-01,5.686274509803921351e-01,3.843137254901961009e-01,2.026670000000000138e-01,4.053350000000000009e-01,8.914199999999999902e-01
2.735900000000000137e-02,4.730220000000000258e-02,-2.388919999999999932e-01,7.254901960784313486e-01,5.647058823529411686e-01,3.803921568627450789e-01,2.605270000000000086e-01,5.210540000000000171e-01,8.127900000000000125e-01
2.861019999999999883e-02,4.730220000000000258e-02,-2.388919999999999932e-01,7.607843137254901578e-01,5.960784313725490113e-01,3.803921568627450789e-01,2.614810000000000190e-01,5.208530000000000104e-01,8.126130000000000297e-01
2.999879999999999908e-02,4.748539999999999706e-02,-2.398679999999999979e-01,7.568627450980391913e-01,5.999999999999999778e-01,3.882352941176470118e-01,2.640669999999999962e-01,5.228540000000000409e-01,8.104890000000000150e-01
3.125000000000000000e-02,4.748539999999999706e-02,-2.398679999999999979e-01,7.647058823529411242e-01,6.078431372549019107e-01,3.960784313725490002e-01,2.598559999999999759e-01,5.218239999999999545e-01,8.125109999999999832e-01
3.265379999999999672e-02,4.769899999999999834e-02,-2.408450000000000035e-01,7.607843137254901578e-01,5.999999999999999778e-01,4.000000000000000222e-01,2.647370000000000001e-01,5.338650000000000340e-01,8.030580000000000496e-01
3.390499999999999764e-02,4.769899999999999834e-02,-2.408450000000000035e-01,7.372549019607843590e-01,5.843137254901961120e-01,3.843137254901961009e-01,1.869089999999999918e-01,6.085570000000000146e-01,7.711829999999999519e-01
9.750369999999999523e-03,4.583740000000000037e-02,-2.379149999999999876e-01,6.745098039215686736e-01,5.176470588235294601e-01,3.529411764705882026e-01,-3.473959999999999826e-01,3.473959999999999826e-01,8.709949999999999637e-01
1.095579999999999991e-02,4.565430000000000182e-02,-2.368159999999999987e-01,6.901960784313725394e-01,5.372549019607842924e-01,3.529411764705882026e-01,-3.499280000000000168e-01,3.485329999999999817e-01,8.695260000000000211e-01
1.219939999999999913e-02,4.565430000000000182e-02,-2.368159999999999987e-01,7.176470588235294157e-01,5.647058823529411686e-01,3.803921568627450789e-01,0.000000000000000000e+00,5.861429999999999696e-01,8.102080000000000393e-01
1.344300000000000009e-02,4.565430000000000182e-02,-2.368159999999999987e-01,7.294117647058823151e-01,5.686274509803921351e-01,3.764705882352941124e-01,0.000000000000000000e+00,5.861429999999999696e-01,8.102080000000000393e-01
1.468659999999999931e-02,4.565430000000000182e-02,-2.368159999999999987e-01,7.450980392156862919e-01,5.764705882352940680e-01,3.803921568627450789e-01,0.000000000000000000e+00,5.861889999999999601e-01,8.101739999999999498e-01
1.593019999999999853e-02,4.565430000000000182e-02,-2.368159999999999987e-01,7.607843137254901578e-01,5.921568627450980449e-01,3.960784313725490002e-01,-2.698269999999999835e-01,5.733129999999999615e-01,7.736309999999999576e-01
