X,Y,Z,R,G,B,nX,nY,nZ
0.0126114,0.0170288,-0.376465,35.0,24.0,19.0,0.451367,0.45258,0.769051
0.0163116,0.0171661,-0.379395,39.0,29.0,27.0,0.517022,0.517022,0.682185
0.0181732,0.0172119,-0.380371,47.0,39.0,38.0,0.961879,-0.0208654,0.272679
-0.021286,0.015152,-0.374268,40.0,31.0,36.0,-0.551067,0.355925,0.754747
-0.019455,0.0151138,-0.373291,44.0,43.0,45.0,-0.511385,0.297313,0.806282
-0.0122528,0.0149918,-0.370361,32.0,32.0,34.0,-0.230368,0.45941,0.85783
-0.0104904,0.0149918,-0.370361,14.0,13.0,17.0,-0.162431,0.4052,0.899683
-0.00870514,0.0149536,-0.369385,27.0,21.0,25.0,-0.322103,0.321406,0.890476
-0.00519562,0.0149536,-0.369385,22.0,17.0,15.0,-0.0853219,0.34138,0.936045
-0.0231323,0.0134125,-0.375244,22.0,10.0,8.0,-0.439302,0.440239,0.783073
-0.021286,0.0133743,-0.374268,23.0,18.0,16.0,-0.508086,0.30037,0.807234
-0.019455,0.0133362,-0.373291,23.0,17.0,19.0,-0.455993,0.227833,0.860327
-0.0176392,0.0133057,-0.372314,21.0,13.0,12.0,-0.458584,0.226989,0.859172
-0.0158234,0.0132675,-0.371338,24.0,16.0,13.0,-0.403417,0.161576,0.900638
-0.0140152,0.0132294,-0.370361,22.0,14.0,11.0,-0.405169,0.162208,0.899737
-0.0122223,0.0131912,-0.369385,21.0,16.0,14.0,-0.254142,0.254142,0.933179
-0.0104675,0.0131912,-0.369385,19.0,14.0,12.0,-0.0850368,0.341257,0.936116
-0.00870514,0.0131912,-0.369385,17.0,12.0,10.0,-0.255337,0.255153,0.932577
-0.0069313,0.0131607,-0.368408,18.0,10.0,7.0,-0.178068,0.177488,0.967879
-0.00518036,0.0131607,-0.368408,21.0,13.0,10.0,0.0,0.265442,0.964127
-0.00342751,0.0131607,-0.368408,22.0,14.0,11.0,0.0,0.265552,0.964096
-0.00167561,0.0131607,-0.368408,17.0,12.0,10.0,0.169881,0.338951,0.925339
7.6592e-05,0.0131912,-0.369385,19.0,16.0,13.0,0.256752,0.256477,0.931825
0.00359154,0.0131912,-0.369385,24.0,19.0,15.0,0.338799,0.169354,0.925492
0.00536346,0.0132294,-0.370361,18.0,10.0,7.0,0.414138,0.082756,0.906444
0.00714493,0.0132675,-0.371338,29.0,17.0,15.0,0.412729,0.0825814,0.907103
0.00893402,0.0133057,-0.372314,26.0,16.0,14.0,0.462016,0.230677,0.856346
0.0107346,0.0133362,-0.373291,26.0,16.0,16.0,0.493086,0.351815,0.795671
0.0125427,0.0133743,-0.374268,33.0,22.0,17.0,0.422551,0.422853,0.801652
0.0143661,0.0134125,-0.375244,29.0,21.0,18.0,0.453875,0.452872,0.767401
-0.0287933,0.0117493,-0.379395,50.0,34.0,27.0,-0.876265,-0.0486269,0.47937
-0.0230713,0.0115891,-0.374268,37.0,27.0,27.0,-0.598921,0.136378,0.78911
-0.0175781,0.0114975,-0.371338,34.0,29.0,25.0,-0.458701,0.228032,0.858833
