a,b,c,d,e,f,g
-4.585929216206580073e-04
-4.437401639553829508e-07
-8.831184404434419544e-02
-2.053606745029217900e-05
-4.735333297250364559e+00
5.282259908807872576e-04
3.627537084937585860e+03
