a,b,c,d,e,f,g
6.118347655198794850e-04
-5.112899518605443423e-07
9.906647660632653118e-02
-3.911199842950576443e-05
4.501621324348347386e+00
1.179916002704275210e-03
-3.045914934230130257e+03
