x,y,z
-6.535031999999999641e+01,5.786439000000000021e+01,-3.197562173127689675e+02
-6.405638999999999328e+01,4.203184999999999860e+01,-3.142717652979740706e+02
-6.237183999999999884e+01,2.826843999999999824e+01,-3.125380131348542818e+02
-6.111448000000000036e+01,1.456449499999999908e+01,-3.118626768423391695e+02
-5.970154999999999745e+01,2.002710000000025234e-02,-3.112443072579203545e+02
-5.856019000000001284e+01,-1.441421799999999998e+01,-3.100258760953588535e+02
-5.711670999999999054e+01,-2.782899000000000456e+01,-3.082179438955918158e+02
-5.583493999999999602e+01,-3.938293000000000177e+01,-3.068584271652484858e+02
-5.486448000000000036e+01,-5.202026000000000749e+01,-3.036182695462002812e+02
-5.354919999999999902e+01,-6.539001999999999271e+01,-3.021928034229413242e+02
