x,y,z
-6.100739090909091544e+01,-1.250147363636363984e+01,-3.099403699362196676e+02
-6.085758181818182067e+01,-1.370240727272727277e+01,-3.096937056835668045e+02
-6.068835454545455121e+01,-1.489744454545454566e+01,-3.094123617982841097e+02
-6.051912727272726755e+01,-1.609110000000000085e+01,-3.091228550583268770e+02
-6.034989999999999810e+01,-1.728405454545454489e+01,-3.088264990375614616e+02
-6.031383636363636214e+01,-1.861018181818181816e+01,-3.086976760008051315e+02
-6.027777272727271907e+01,-1.993491818181818331e+01,-3.085618711996166894e+02
-6.010854545454546383e+01,-2.125480000000000302e+01,-3.082384641447652029e+02
-6.007248181818182076e+01,-2.270784545454545622e+01,-3.080789135690506555e+02
-6.003641818181818479e+01,-2.416020909090908830e+01,-3.079112739272027284e+02
-6.000035454545454883e+01,-2.560979090909091482e+01,-3.077359582532558306e+02
-5.996429090909091997e+01,-2.705799090909091476e+01,-3.075531443073496121e+02
-5.990880000000001360e+01,-2.849509090909091213e+01,-3.073382079672851432e+02
-5.987272727272728190e+01,-2.993774545454545333e+01,-3.071418942540803982e+02
-5.983665454545455731e+01,-3.138039090909090945e+01,-3.069391422664316451e+02
-5.980058181818182561e+01,-3.282304545454545774e+01,-3.067304274217922284e+02
-5.974786363636364683e+01,-3.425181818181818727e+01,-3.064960905873394950e+02
-5.969514545454546806e+01,-3.567781818181818210e+01,-3.062575982892303728e+02
-5.965907272727274346e+01,-3.711214545454544833e+01,-3.060357426908658454e+02
-5.960635454545454337e+01,-3.853259999999999508e+01,-3.057907860548325516e+02
-5.955363636363635749e+01,-3.995028181818181423e+01,-3.055438092700001107e+02
-5.950091818181817160e+01,-4.137073636363636098e+01,-3.052948966576541352e+02
-5.942878181818181815e+01,-4.277454545454545354e+01,-3.050232724042061818e+02
-5.937607272727272800e+01,-4.418668181818181750e+01,-3.047751172541188680e+02
-5.932336363636364496e+01,-4.559603636363636525e+01,-3.045283964835425650e+02
-5.925400909090908641e+01,-4.698597272727273122e+01,-3.042663549192448045e+02
-5.907090909090909037e+01,-4.825938181818182215e+01,-3.038920091868426425e+02
-5.901819999999998601e+01,-4.953002727272728123e+01,-3.036739524520753548e+02
-5.896549090909090296e+01,-5.080067272727273320e+01,-3.034602457635760402e+02
-5.878239090909089981e+01,-5.193814545454545595e+01,-3.031315496596703269e+02
-5.874632727272727806e+01,-5.308671818181817770e+01,-3.029619496964228347e+02
-5.857987272727272909e+01,-5.410489090909090493e+01,-3.026877563508414823e+02
-5.841341818181817303e+01,-5.512029090909091167e+01,-3.024314421678091094e+02
-5.826638181818182005e+01,-5.614956363636363079e+01,-3.022075198105940217e+02
-5.823031818181818409e+01,-5.715941818181818235e+01,-3.020809241071615361e+02
-5.806386363636364223e+01,-5.803888181818181380e+01,-3.018842951905708105e+02
-5.791405454545454745e+01,-5.893499090909089944e+01,-3.017167623634563824e+02
-5.787799090909091149e+01,-5.994207272727272340e+01,-3.016145790302298337e+02
-5.772818181818183092e+01,-6.096580000000000865e+01,-3.014672868075499537e+02
-5.757837272727272904e+01,-6.198675454545455210e+01,-3.013435764786108848e+02
-5.755895454545455436e+01,-6.314087272727272904e+01,-3.012689815811659173e+02
-5.740914545454545959e+01,-6.429221818181818549e+01,-3.011763039134593782e+02
-5.738972727272727781e+01,-6.557673636363637115e+01,-3.011233688575944143e+02
-5.737030909090910313e+01,-6.685848181818181502e+01,-3.010871047395594360e+02
-5.735089090909091425e+01,-6.814299090909091206e+01,-3.010686303683987717e+02
-5.723991818181819013e+01,-6.946634545454546128e+01,-3.010623821572958150e+02
-5.722050000000000125e+01,-6.372070000000000789e+01,-3.011837747692943594e+02
-5.722050000000000125e+01,-6.512449999999999761e+01,-3.011228291951069878e+02
-5.722050000000000125e+01,-6.658940000000001191e+01,-3.010794859327393169e+02
-5.722050000000000125e+01,-6.799320000000000164e+01,-3.010590567493472918e+02
-5.722050000000000125e+01,-6.945800000000001262e+01,-3.010616115390621417e+02
-5.722050000000000125e+01,-7.086180000000000234e+01,-3.010887356315010948e+02
-5.722050000000000125e+01,-7.232669999999998822e+01,-3.011447481879667976e+02
-5.722050000000000125e+01,-7.373050000000000637e+01,-3.012268770202458654e+02
-5.722050000000000125e+01,-7.519530000000000314e+01,-3.013443276242710454e+02
-5.743410000000000082e+01,-7.684329999999999927e+01,-3.015421561261227907e+02
-5.743410000000000082e+01,-7.830810000000001025e+01,-3.017358138111685548e+02
