x,y,z
-6.604000000000000625e+01,6.536870000000000402e+01,-3.235529909076140029e+02
-6.514669090909090698e+01,5.541438181818181619e+01,-3.186105500945236599e+02
-6.501907272727272868e+01,5.379139999999999588e+01,-3.179516212254934544e+02
-6.487480909090909620e+01,5.215731818181818369e+01,-3.173661441881140490e+02
-6.474719090909091790e+01,5.054265454545454617e+01,-3.168057401600735830e+02
-6.463621818181819378e+01,4.894741818181818616e+01,-3.162739706943716556e+02
-6.452524545454546967e+01,4.736049999999999471e+01,-3.157898126576710638e+02
-6.443091818181818553e+01,4.579023636363635319e+01,-3.153338555683312734e+02
-6.433659090909090139e+01,4.422273636363635774e+01,-3.149201842661045703e+02
-6.425890909090908565e+01,4.267189090909089799e+01,-3.145346992044387662e+02
-6.418122727272726991e+01,4.112381818181817295e+01,-3.141882108140075616e+02
-6.412573636363636354e+01,3.959239090909090208e+01,-3.138645802170449315e+02
-6.407024545454545716e+01,3.806096363636363122e+01,-3.135764990092939115e+02
-6.401475454545455079e+01,3.653647272727272366e+01,-3.133227246941828525e+02
-6.397590909090909150e+01,3.502585454545454269e+01,-3.130919367101550961e+02
-6.393706363636363932e+01,3.351662727272727693e+01,-3.128905572849680539e+02
-6.389821818181818003e+01,3.200878181818181645e+01,-3.127162843853225240e+02
-6.388157272727273295e+01,3.051203636363636562e+01,-3.125575122372274564e+02
-6.386492727272727166e+01,2.901667272727272717e+01,-3.124224964345157787e+02
-6.384828181818181747e+01,2.752269999999999683e+01,-3.123091855057814428e+02
-6.383163636363636328e+01,2.602871818181818853e+01,-3.122155139876522298e+02
-6.367905454545453381e+01,2.466790909090908812e+01,-3.121922137340843619e+02
-6.352647272727271854e+01,2.330848181818181786e+01,-3.121590046474384508e+02
-6.337389090909089617e+01,2.194975454545454241e+01,-3.121156782549978743e+02
-6.323795454545452799e+01,2.059935454545454547e+01,-3.120648737943788547e+02
-6.310201818181817401e+01,1.924964545454545473e+01,-3.120076821428037874e+02
-6.296608181818180583e+01,1.789923636363636561e+01,-3.119437197926799854e+02
-6.283014545454545186e+01,1.654883090909090981e+01,-3.118726868188659864e+02
-6.269420909090908367e+01,1.519912272727272651e+01,-3.117943043252930693e+02
-6.255827272727272259e+01,1.384906727272727345e+01,-3.117083207487894470e+02
-6.242233636363635441e+01,1.249866545454545452e+01,-3.116145324120402620e+02
-6.228640000000000043e+01,1.114930727272727218e+01,-3.115127632998887748e+02
-6.228640000000000043e+01,9.664873636363635612e+00,-3.115217707254228117e+02
-6.226975454545454625e+01,8.179833272727274007e+00,-3.115186004779316136e+02
-6.225310909090909917e+01,6.695483636363636748e+00,-3.115158851145124572e+02
-6.223646363636364498e+01,5.211219999999999963e+00,-3.115125897782518223e+02
-6.221981818181818369e+01,3.727474545454545041e+00,-3.115077336300269053e+02
-6.220317272727272950e+01,2.244601818181818143e+00,-3.115003999006848971e+02
-6.216709999999999781e+01,7.634590909090906985e-01,-3.114724338019418610e+02
-6.213102727272726611e+01,-7.159499999999998643e-01,-3.114398156119682426e+02
-6.209495454545453441e+01,-2.195011818181818342e+00,-3.114018361014891525e+02
-6.205888181818180982e+01,-3.673037272727273539e+00,-3.113578470732659298e+02
-6.188964545454544464e+01,-5.016160909090910280e+00,-3.111757157604297390e+02
-6.172040909090908656e+01,-6.358763636363637062e+00,-3.109754892381165519e+02
-6.168433636363636197e+01,-7.695905090909092472e+00,-3.109103085291967545e+02
-6.151510000000000389e+01,-8.898491818181819113e+00,-3.106883950712885962e+02
-6.134586363636364581e+01,-1.010046454545454431e+01,-3.104519133712378789e+02
-6.117662727272728063e+01,-1.130088272727272880e+01,-3.102021622262554956e+02
