a,b,c,d,e,f,g
2.230240067544138338e-03
-4.190087798550953865e-07
3.732797912132998497e-01
-2.967795638369491614e-05
1.754883422824257266e+01
8.990427981588488713e-04
-1.175609087764406286e+04
