x,y,z
-6.167880909090910535e+01,-5.956199090909091609e+01,-3.016856228765391279e+02
-6.163996363636363895e+01,-6.096025454545454636e+01,-3.015122417980655882e+02
-6.162053636363636855e+01,-6.237793636363637262e+01,-3.013916962933326431e+02
-6.160110909090909104e+01,-6.379006363636364796e+01,-3.012852574637981888e+02
-6.158168181818182063e+01,-6.520497272727271820e+01,-3.011937938037426647e+02
-6.156225454545454312e+01,-6.661710909090909638e+01,-3.011188437825221627e+02
-6.154282727272727982e+01,-6.803201818181818794e+01,-3.010616454071277985e+02
-6.154282727272727982e+01,-6.946634545454546128e+01,-3.010619653864414431e+02
-6.156225454545455733e+01,-7.105048181818182229e+01,-3.011251606601927051e+02
-6.152340000000000231e+01,-6.512449999999999761e+01,-3.010804189493610465e+02
-6.152340000000000231e+01,-6.658940000000001191e+01,-3.010426270676434797e+02
-6.152340000000000231e+01,-6.799320000000000164e+01,-3.010237914754088706e+02
-6.152340000000000231e+01,-6.945800000000001262e+01,-3.010237852714180917e+02
-6.152340000000000231e+01,-7.086180000000000234e+01,-3.010440801216536784e+02
-6.152340000000000231e+01,-7.232669999999998822e+01,-3.010880443887181173e+02
-6.152340000000000231e+01,-7.373050000000000637e+01,-3.011535645915082569e+02
-6.152340000000000231e+01,-7.519530000000000314e+01,-3.012480253941303090e+02
-6.173710000000000520e+01,-7.684329999999999927e+01,-3.018349125129261665e+02
-6.173710000000000520e+01,-7.971189999999999998e+01,-3.021728409649767855e+02
-6.195069999999999766e+01,-8.142090000000000316e+01,-3.029352791413166415e+02
