x,y,z
-6.564329999999999643e+01,6.116741666666667498e+01,-3.213669171489600558e+02
-6.536863333333333514e+01,5.187478333333333325e+01,-3.173213157099712589e+02
-6.580605000000001326e+01,4.345193333333332930e+01,-3.145070947859649095e+02
-6.549070000000000391e+01,3.427125000000000199e+01,-3.133935815007566816e+02
-6.492103333333334092e+01,2.382913333333333483e+01,-3.128914240084222911e+02
-6.402585000000000548e+01,1.312890666666666561e+01,-3.118954810403715783e+02
-6.378169999999999362e+01,4.468201833333333539e+00,-3.114299508371132106e+02
-6.350708333333332689e+01,-4.420439333333333387e+00,-3.107390554583525955e+02
-6.329346666666666010e+01,-1.324463166666666858e+01,-3.099861388281519794e+02
-6.304929999999999524e+01,-2.200318333333332887e+01,-3.088999512554264584e+02
-6.277461666666666673e+01,-3.067525000000000546e+01,-3.074788249656635344e+02
-6.245420000000000726e+01,-3.922525000000000972e+01,-3.056961030093607405e+02
-6.210836666666666162e+01,-4.769898333333333085e+01,-3.037204557211280189e+02
-6.177270000000000749e+01,-5.606586666666666474e+01,-3.019163878329204636e+02
-6.155901666666667182e+01,-6.446331666666667104e+01,-3.013453191640210207e+02
