a,b,c,d,e,f,g
7.768322783532356215e-04
-5.376813425252316099e-07
1.265030263296796909e-01
-7.761448509201823666e-05
5.786175332808173977e+00
3.757817683194766053e-03
-3.884759787130523364e+03
