a,b,c,d,e,f,g
5.855814981835394005e-04
-5.170838181017758275e-07
9.415393174612858573e-02
-3.763472586253982581e-05
4.246460223200557493e+00
9.926041178637617316e-04
-2.847939959882388848e+03
